Embarked,Parch,SibSp,Sex,Pclass,Ticket,Cabin,Age,Fare
3,0,1,0,1,239,146,29.0,26.0
0,1,0,0,0,59,70,56.0,83.1583
3,1,1,1,1,240,146,60.0,39.0
3,0,0,0,2,332,146,22.0,7.75
3,0,0,1,1,112,146,36.0,13.0
3,1,0,1,2,486,118,6.0,12.475
3,1,1,0,0,1,134,39.0,79.65
0,1,1,0,0,81,124,40.0,134.5
3,2,1,0,1,561,146,33.0,27.75
3,2,0,1,2,538,146,40.5,14.5
3,0,0,1,2,382,146,28.0,7.8958
3,0,0,0,1,219,116,32.5,13.0
3,0,0,1,2,322,146,29.0,7.775
2,0,0,0,2,433,146,21.0,7.75
2,0,0,1,2,442,146,9999990.0,7.75
0,1,1,0,2,196,138,9999990.0,22.3583
3,1,2,1,1,235,146,23.0,11.5
3,1,1,1,2,458,146,18.0,20.2125
3,2,0,0,1,166,146,24.0,14.5
3,2,4,0,2,333,146,11.0,31.275
2,0,0,1,2,481,143,9999990.0,7.75
3,0,0,1,2,623,146,19.0,8.1583
3,0,0,1,1,105,146,27.0,13.0
3,0,0,0,0,0,40,33.0,86.5
0,1,0,1,0,608,34,36.0,512.3292
3,0,0,0,2,509,146,22.0,9.8375
3,0,0,1,0,3,71,28.0,26.55
3,0,0,1,2,272,146,9999990.0,7.25
3,0,0,1,2,268,146,21.0,8.6625
3,0,0,1,2,415,146,32.0,7.8542
3,0,0,1,2,319,146,33.0,7.775
0,0,1,1,0,84,86,49.0,89.1042
3,0,0,1,2,500,146,20.0,9.225
3,0,0,1,2,339,146,26.0,7.8875
0,0,1,0,2,193,146,9999990.0,14.4542
3,4,0,0,2,395,146,29.0,21.075
3,1,1,1,1,166,146,0.67,14.5
3,1,4,1,2,249,146,16.0,39.6875
0,0,1,0,1,132,146,14.0,30.0708
0,2,0,1,0,83,77,17.0,110.8833
2,0,0,0,2,285,146,9999990.0,7.8792
3,0,1,1,2,477,146,24.0,16.1
0,2,0,1,0,27,79,27.0,211.5
3,2,1,1,0,33,47,11.0,120.0
3,1,1,0,0,67,37,52.0,93.5
3,0,0,1,0,2,1,9999990.0,52.0
3,0,0,1,0,73,126,65.0,26.55
3,0,1,1,2,244,146,18.0,6.4958
3,0,0,1,2,357,146,36.0,7.4958
0,0,0,1,1,635,90,36.0,12.875
3,0,0,1,1,552,146,25.0,13.0
0,2,1,0,1,634,146,22.0,41.5792
0,0,0,0,0,63,93,32.0,76.2917
3,0,0,1,0,590,6,31.0,50.4958
3,0,0,0,1,570,146,35.0,21.0
3,0,0,1,2,528,146,9999990.0,8.05
3,0,0,1,2,80,146,9999990.0,56.4958
3,0,0,1,2,638,146,9999990.0,7.05
3,5,1,0,2,329,146,38.0,31.3875
3,1,1,1,1,237,146,0.83,18.75
2,0,0,1,2,287,146,31.0,7.75
3,0,0,1,0,47,146,9999990.0,31.0
0,0,0,1,2,191,146,20.0,7.2292
0,0,0,1,2,291,146,9999990.0,8.7125
0,0,0,0,0,614,146,30.0,106.425
0,0,0,1,2,199,146,9999990.0,7.2292
3,0,0,1,1,146,146,23.0,10.5
3,0,0,1,2,525,146,20.5,7.25
3,0,0,1,2,342,146,23.0,7.8542
3,0,0,1,2,511,146,32.0,8.3625
0,1,1,1,1,618,146,31.0,37.0042
3,0,0,1,2,411,146,22.0,7.5208
3,0,0,1,1,121,146,48.0,13.0
3,0,0,0,2,260,146,30.0,8.6625
3,0,2,1,2,246,146,28.0,7.925
3,0,0,1,2,665,146,32.0,7.925
3,0,0,1,2,617,146,9999990.0,8.05
3,0,0,1,2,518,146,21.0,8.05
2,0,0,1,2,446,146,40.5,7.75
0,0,0,0,0,47,146,30.0,31.0
3,0,0,0,2,677,146,9999990.0,7.55
3,0,1,0,0,89,19,17.0,57.0
0,0,1,1,0,614,82,50.0,106.425
0,0,0,1,2,182,146,9999990.0,7.225
3,0,0,1,2,474,146,25.0,7.25
3,0,0,1,2,430,146,44.0,8.05
3,0,0,0,0,38,49,58.0,26.55
2,0,0,1,2,452,146,9999990.0,7.75
3,1,2,0,1,114,144,4.0,39.0
3,0,0,1,2,400,146,21.0,7.8542
3,0,0,0,0,67,39,30.0,93.5
2,0,0,0,2,276,146,9999990.0,7.6292
3,1,1,1,0,54,102,37.0,52.5542
3,0,0,1,2,563,146,42.0,7.55
3,0,0,1,0,583,88,9999990.0,221.7792
3,2,0,0,2,344,146,27.0,11.1333
3,0,0,1,2,495,146,21.0,16.1
3,0,0,1,1,557,146,32.0,10.5
3,0,1,1,2,315,146,29.0,7.0458
3,0,0,1,0,85,129,54.0,51.8625
3,0,0,1,0,15,16,9999990.0,0.0
3,0,0,1,2,655,146,44.0,7.925
3,0,0,1,2,535,146,20.0,8.05
3,0,0,1,1,222,146,35.0,10.5
3,0,1,1,1,142,146,42.0,27.0
3,0,0,1,2,516,146,55.5,8.05
0,0,0,1,0,587,109,27.0,76.7292
0,1,0,1,0,612,91,23.0,63.3583
